Project,ChatGPT F0.5,ChatGPT F1,ChatGPT F2,Mistral F0.5,Mistral F1,Mistral F2
Camperplus,0.27,0.195,0.152,0.521,0.448,0.393
Fish&Chips,0.495,0.482,0.469,0.574,0.477,0.407
Grocery,0.786,0.747,0.711,0.589,0.431,0.34
Planningpoker,0.705,0.69,0.675,0.607,0.599,0.592
Recycling,0.329,0.35,0.373,0.383,0.283,0.224
School,0.492,0.493,0.494,0.48,0.43,0.39
Sports,0.685,0.667,0.651,0.47,0.418,0.377
Supermarket,0.701,0.697,0.694,0.646,0.568,0.506
Ticket,0.713,0.699,0.686,0.644,0.571,0.512
Mean,0.575,0.558,0.545,0.546,0.469,0.416
Std-dev,0.186,0.19,0.19,0.089,0.099,0.108
