,,Camperplus,,Fish&Chips,,Grocery,,Planningpoker,,Recycling,,School,,Sports,,Supermarket,,Ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods,,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAP,Experts,0.763,0.882,0.731,0.63,0.737,1,0.742,0.889,0.686868687,0.666666667,0.679,0.824,0.739,0.769,0.794,0.708,0.643,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Novices,,,,,,,,,,,0.634907673,0.626297578,,,0.477162733,0.704545455,0.505578619,0.7375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN,Precision-oriented,0.571,0.235,0.333,0.333,0.429,0.333,0.333,0.667,0.273,0.272727273,0.667,0.353,0.6,0.231,0.417,0.455,0.625,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recall-oriented,0.393,0.647,0.263,0.556,0.3,0.667,0.333,0.667,0.235,0.363636364,0.448,0.765,0.417,0.385,0.389,0.636,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Precision-oriented,0.833,0.294,0.7,0.778,1,0.667,0.6,1,0.375,0.272727273,1,0.353,0.4,0.308,1,0.364,0.571,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recall-oriented,0.52,0.765,0.467,0.778,0.4,0.889,0.3,1,0.333,0.545454546,0.476,0.588,0.357,0.385,0.346,0.818,0.385,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM,ChatGPT Org,0.597498106,0.623529412,0.331993454,0.733333333,0.424578335,0.881944444,0.364198201,0.8,0.201092984,0.488888889,0.523073731,0.623796791,0.425851472,0.738461539,0.514736836,0.759090909,0.469254017,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT 1S3P,0.604419053,0.535294118,0.37715528,0.744444444,0.503373666,0.847222222,0.326652613,0.833333333,0.259242377,0.477777778,0.483387446,0.552941177,0.530572344,0.638461539,0.478342873,0.829090909,0.436362554,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT 3S3P,0.652365164,0.788235294,0.364604459,0.733333333,0.519335584,0.907906417,0.382272943,0.883333333,0.253209186,0.555555556,0.462217353,0.723529412,0.482393494,0.6,0.451948617,0.872727273,0.4619075,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral Org,0.573323003,0.611764706,0.488170055,0.677777778,0.922867647,0.805882353,0.409994589,0.633333333,0.195283887,0.588888889,0.606316354,0.747058824,0.515687099,0.5,0.558684605,0.63,0.377333011,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral 1S3P,0.464927009,0.464927009,0.509768747,0.655555556,0.93002408,0.869852941,0.486493572,0.833333333,0.216024039,0.588888889,0.519412476,0.629411765,0.624047195,0.653846154,0.495597494,0.703636364,0.417546296,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral 3S3P,0.571357164,0.447058824,0.51012605,0.71969697,1,0.535603715,0.47140873,0.733333333,0.215134253,0.555555556,0.664654295,0.635294118,0.586071853,0.546153846,0.580949328,0.572727273,0.455264069,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
