,,,,,,,,,,,,,,,,,
Datasets,HAP - Experts,,ML,,,,ChatGPT 3S3P,,Mistral 3S3P,,,,,,,,
,,,Precision-oriented,,recall,,,,,,,,,,,,
,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,,,,,,,
Camperplus,0.839,0.905,0.938,0.652,0.833,0.87,0.363962843,0.17826087,0.585,0.439,,,,,,,
Fish&Chips,0.833,0.952,0.875,1,0.5,1,0.503880071,0.527777778,0.665,0.75,,,,,,,
Grocery,0.917,0.917,1,0.875,0.8,1,0.814814815,0.833333333,0.78,0.625,,,,,,,
Planningpoker,0.878,0.833,0.5,0.333,0.417,0.833,0.715692641,0.85,0.612,0.741,,,,,,,
Recycling,0.839,0.905,1,0.75,0.888,1,0.316484287,0.402777778,0.502,0.345,,,,,,,
School,0.8,0.652,0.444,0.174,0.387,0.522,0.49093083,0.5,0.519,0.487,,,,,,,
Sports,0.685,0.762,0.5,0.583,0.5,0.75,0.697409674,0.669230769,0.513,0.515,,,,,,,
Supermarket,0.936,0.909,0.643,0.692,0.591,1,0.703822084,0.7,0.711,0.692,,,,,,,
Ticket,0.942,0.846,0.727,0.615,0.632,0.923,0.723097491,0.676923077,0.705,0.731,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Datasets,HAP - Experts,,,ML,,,,,,ChatGPT 3S3P,,,,Mistral 3S3P,,,
,,,,Precision-oriented,,,recall,,,,,,,,,,
,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,,F0.5,F1,F2,
Camperplus,0.851,0.871,0.891,0.862,0.769,0.694,0.84,0.851,0.862,0.301,0.239,0.199,0.2,0.548,0.502,0.462,0.14
Fish&Chips,0.854,0.889,0.926,0.897,0.933,0.972,0.556,0.667,0.833,0.508,0.516,0.523,0.14,0.681,0.705,0.731,0.42
Grocery,0.917,0.917,0.917,0.972,0.933,0.897,0.833,0.889,0.952,0.818,0.824,0.83,0.15,0.743,0.694,0.651,0.48
Planningpoker,0.869,0.855,0.842,0.454,0.4,0.357,0.463,0.556,0.694,0.739,0.777,0.819,0.18,0.634,0.67,0.711,0.15
Recycling,0.851,0.87,0.891,0.938,0.857,0.789,0.908,0.941,0.975,0.331,0.354,0.382,0.03,0.46,0.409,0.368,0.39
School,0.765,0.718,0.677,0.339,0.25,0.198,0.408,0.444,0.488,0.493,0.495,0.498,0.08,0.513,0.503,0.493,0.17
Sports,0.699,0.721,0.745,0.515,0.538,0.564,0.536,0.6,0.682,0.692,0.683,0.675,0.03,0.513,0.514,0.515,0.23
Supermarket,0.93,0.922,0.914,0.652,0.667,0.682,0.644,0.743,0.878,0.703,0.702,0.701,0.01,0.707,0.702,0.696,0.28
Ticket,0.921,0.891,0.864,0.701,0.666,0.635,0.675,0.75,0.845,0.713,0.699,0.686,0,0.71,0.717,0.725,0.28
Mean,0.851,0.851,0.852,0.703,0.668,0.643,0.651,0.716,0.801,0.589,0.588,0.59,0.091111111,0.612,0.602,0.595,0.282
Std-dev,0.076,0.077,0.086,0.23,0.237,0.246,0.178,0.164,0.154,0.187,0.199,0.209,0.078,0.105,0.118,0.136,0.124
